runId;iteration;vehicles;totalDistance;totalEmptyDistance;emptyRatio;totalPassengerDistanceTraveled;averageDrivenDistance;averageEmptyDistance;averagePassengerDistanceTraveled;d_p/d_t;l_det;minShareIdleVehicles
kelheim;46;2;655758.91;174064.7;0.27;682614.27;327879.46;87032.35;341307.14;1.04;1.48;0
kelheim;47;2;671943.7;199021.97;0.3;644485.57;335971.85;99510.98;322242.79;0.96;1.51;0
kelheim;48;2;703303.49;209283.56;0.3;679738.65;351651.75;104641.78;339869.33;0.97;1.49;0
kelheim;49;2;786248.12;255280.39;0.32;705760.65;393124.06;127640.2;352880.33;0.9;1.61;0
kelheim;50;2;777261.86;224756.58;0.29;738876.02;388630.93;112378.29;369438.01;0.95;1.53;0
kelheim;51;2;675164.13;200861.3;0.3;624240.08;337582.07;100430.65;312120.04;0.92;1.48;0
kelheim;52;2;665750.34;226650.92;0.34;582595.05;332875.17;113325.46;291297.53;0.88;1.53;0
kelheim;53;2;733425.97;232370.93;0.32;677996.86;366712.99;116185.47;338998.43;0.92;1.46;0
kelheim;54;2;635940.91;197475.13;0.31;558086.81;317970.46;98737.57;279043.41;0.88;1.53;0
kelheim;55;2;643074.45;174272.25;0.27;597632.95;321537.23;87136.13;298816.48;0.93;1.44;0
kelheim;56;2;634769.83;179701.5;0.28;598803.17;317384.92;89850.75;299401.59;0.94;1.45;0
kelheim;57;2;610577.01;191648.79;0.31;558441.7;305288.51;95824.4;279220.85;0.91;1.5;0
kelheim;58;2;556321.71;168884.46;0.3;523758.4;278160.86;84442.23;261879.2;0.94;1.4;0
kelheim;59;2;647480.01;178792.13;0.28;639645.12;323740.01;89396.07;319822.56;0.99;1.46;0
kelheim;60;2;642873.13;179404.37;0.28;668281.35;321436.57;89702.19;334140.68;1.04;1.44;0
kelheim;61;2;641366.62;186438.38;0.29;661637.95;320683.31;93219.19;330818.98;1.03;1.44;0
kelheim;62;2;644006.4;179271.47;0.28;649820.47;322003.2;89635.74;324910.23;1.01;1.41;0
kelheim;63;2;633333.67;205308.52;0.32;575717.78;316666.84;102654.26;287858.89;0.91;1.56;0
kelheim;64;2;626987.61;184817.98;0.29;621049.3;313493.81;92408.99;310524.65;0.99;1.51;0
