Iteration	bicycle_travel	bicycle_wait	car_travel	car_wait	freight_travel	freight_wait	pt_travel	pt_wait	ride_travel	ride_wait	stageActivity_travel	stageActivity_wait	walk_travel	walk_wait
288	143205	0	215553	0	2347	0	109115	31824	72931	0	0	0	292700	0
289	142747	0	215636	0	2358	0	109335	31946	72908	0	0	0	292186	0
290	142822	0	215693	0	2347	0	109301	31819	72913	0	0	0	292288	0
291	142724	0	215834	0	2358	0	109296	31882	72914	0	0	0	292148	0
292	143086	0	215840	0	2353	0	109094	31547	72924	0	0	0	291665	0
293	142904	0	215731	0	2348	0	109248	32025	72900	0	0	0	292148	0
294	143042	0	215746	0	2351	0	109274	31901	72883	0	0	0	292449	0
295	143112	0	215639	0	2350	0	109202	31791	72906	0	0	0	292255	0
296	142779	0	215871	0	2357	0	109411	32118	72894	0	0	0	292131	0
297	142393	0	215785	0	2345	0	109429	32058	72866	0	0	0	292560	0
298	143223	0	215772	0	2347	0	109326	32141	72907	0	0	0	291263	0
299	142723	0	215830	0	2351	0	109318	32318	72880	0	0	0	291888	0
300	142885	0	215964	0	2359	0	109141	31611	72876	0	0	0	292131	0
301	143074	0	216000	0	2354	0	109152	32043	72870	0	0	0	291457	0
302	142891	0	216152	0	2377	0	109269	31984	72863	0	0	0	292266	0
303	142650	0	215660	0	2358	0	109417	31945	72859	0	0	0	292048	0
304	142990	0	215456	0	2357	0	109431	32029	72842	0	0	0	291498	0
305	142632	0	215690	0	2348	0	109422	31792	72851	0	0	0	291776	0
306	142719	0	216097	0	2359	0	109208	32114	72844	0	0	0	292071	0
307	142206	0	216254	0	2355	0	109266	31821	72853	0	0	0	292206	0
308	142750	0	216052	0	2368	0	109394	31862	72841	0	0	0	291435	0
309	142380	0	215703	0	2347	0	109475	31947	72830	0	0	0	292015	0
310	142496	0	215667	0	2334	0	109226	31910	72832	0	0	0	292327	0
311	142518	0	215449	0	2339	0	109257	31979	72835	0	0	0	292562	0
312	142684	0	215668	0	2344	0	109404	32300	72814	0	0	0	292002	0
313	142625	0	215223	0	2326	0	109421	32127	72819	0	0	0	291914	0
314	142285	0	215864	0	2339	0	109345	32130	72810	0	0	0	291795	0
315	142844	0	215604	0	2335	0	109310	31650	72819	0	0	0	291539	0
316	142292	0	215486	0	2327	0	109378	31870	72816	0	0	0	292039	0
317	142551	0	215519	0	2332	0	109343	31971	72800	0	0	0	292735	0
318	142555	0	215458	0	2332	0	109347	31804	72790	0	0	0	292221	0
319	142806	0	215693	0	2330	0	109408	31746	72799	0	0	0	291827	0
320	142887	0	215245	0	2329	0	109368	31971	72813	0	0	0	292282	0
321	142628	0	215600	0	2339	0	109416	32314	72805	0	0	0	291668	0
322	142379	0	215916	0	2336	0	109279	31932	72828	0	0	0	291639	0
323	142266	0	215527	0	2335	0	109286	31928	72784	0	0	0	291920	0
324	142436	0	215513	0	2334	0	109491	31695	72786	0	0	0	291974	0
325	142574	0	215408	0	2344	0	109524	31957	72795	0	0	0	291721	0
326	142364	0	215461	0	2342	0	109490	32186	72766	0	0	0	291825	0
327	142420	0	215695	0	2339	0	109286	31714	72771	0	0	0	291772	0
328	142345	0	215719	0	2341	0	109365	32224	72836	0	0	0	291736	0
329	142536	0	215797	0	2352	0	109234	31861	72789	0	0	0	291693	0
330	142572	0	215569	0	2342	0	109253	31573	72789	0	0	0	291365	0
331	142122	0	215584	0	2340	0	109511	31739	72785	0	0	0	291700	0
332	142774	0	215370	0	2341	0	109295	32194	72765	0	0	0	292694	0
333	142470	0	215423	0	2351	0	109384	31951	72754	0	0	0	291949	0
334	142462	0	215647	0	2347	0	109360	31439	72746	0	0	0	291668	0
335	142278	0	215540	0	2359	0	109500	31863	72760	0	0	0	291962	0
336	142448	0	215953	0	2362	0	109375	32013	72763	0	0	0	291364	0
337	142061	0	215468	0	2356	0	109302	31651	72781	0	0	0	292659	0
338	142334	0	215650	0	2337	0	109332	31809	72757	0	0	0	292558	0
339	142514	0	215268	0	2342	0	109534	32174	72754	0	0	0	291879	0
340	142309	0	215309	0	2338	0	109581	32040	72755	0	0	0	292221	0
341	141914	0	215843	0	2353	0	109373	31876	72746	0	0	0	291655	0
342	142183	0	215680	0	2347	0	109319	31705	72734	0	0	0	292181	0
343	142531	0	215527	0	2341	0	109287	31983	72762	0	0	0	292461	0
344	142475	0	215282	0	2335	0	109378	31720	72739	0	0	0	291862	0
345	142076	0	215969	0	2362	0	109317	31696	72717	0	0	0	291727	0
346	142643	0	215552	0	2338	0	109278	31589	72719	0	0	0	291611	0
347	142192	0	215567	0	2331	0	109318	31310	72742	0	0	0	291371	0
348	142122	0	215863	0	2333	0	109440	31855	72713	0	0	0	291069	0
349	142429	0	215632	0	2348	0	109475	32108	72693	0	0	0	290877	0
350	142233	0	215773	0	2330	0	109325	31349	72697	0	0	0	290920	0
351	142390	0	215475	0	2345	0	109401	31534	72725	0	0	0	291887	0
352	142446	0	215629	0	2330	0	109156	31771	72688	0	0	0	292417	0
353	142315	0	215423	0	2329	0	109250	31664	72729	0	0	0	292391	0
354	142390	0	215366	0	2327	0	109318	31960	72712	0	0	0	290996	0
355	141705	0	215490	0	2328	0	109348	31865	72673	0	0	0	292707	0
356	142023	0	215564	0	2341	0	109432	31618	72688	0	0	0	291757	0
357	141916	0	215823	0	2336	0	109381	32021	72676	0	0	0	292026	0
358	141961	0	215585	0	2331	0	109261	31805	72718	0	0	0	292044	0
359	142085	0	215391	0	2330	0	109218	31968	72672	0	0	0	292881	0
360	142056	0	215170	0	2326	0	109481	31890	72666	0	0	0	291812	0
361	142231	0	215573	0	2329	0	109366	31543	72669	0	0	0	291874	0
362	141805	0	215545	0	2329	0	109279	31864	72655	0	0	0	292523	0
363	142236	0	215222	0	2323	0	109295	31611	72673	0	0	0	292683	0
364	142085	0	215622	0	2339	0	109523	31966	72674	0	0	0	292244	0
